Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:41glcw7981FPbxErG2iee6,"Marie","Pray For Haiti","Mach-Hommy",2021-05-21,169323,46,true,dinismbraposo,2026-01-19T15:44:45Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap","Griselda Records",0.382,0.556,2,-8.719,1,0.164,0.649,0.118,0.126,0.0785,83.847,4
spotify:track:1zBPkwg2oEh760w20qbJ9E,"Why I do em Like that (feat. Billie Essco)","Hitler Wears Hermes 8: Side B","Westside Gunn;Billie Essco",2021-09-24,240800,61,true,dinismbraposo,2026-01-19T15:44:06Z,"boom bap,hip-hop alternativo,jazz rap,hip-hop experimental,hip-hop da Costa Leste","Griselda Records / EMPIRE",0.498,0.8,6,-8.055,0,0.371,0.509,0,0.117,0.59,150.475,4
spotify:track:3scptj8Idke3JxqmewOlJ9,"Ray Mysterio (feat. Westside Gunn & Conway)","Bread","The Alchemist;Westside Gunn;Conway the Machine",2018-11-30,223535,58,true,dinismbraposo,2026-01-19T15:44:09Z,"hip-hop alternativo,jazz rap,hip-hop experimental,boom bap,hip-hop da Costa Leste","ALC",0.717,0.805,1,-6.008,1,0.289,0.605,0,0.29,0.632,132.135,4
spotify:track:61yEnolGD5OKMfzLaNEMch,"1080p","HBO (Haitian Body Odor)","Mach-Hommy",2016-08-17,217953,14,true,dinismbraposo,2026-01-19T15:45:07Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap","Mach-Hommy Inc.",0.803,0.698,5,-8.409,0,0.329,0.0705,0,0.123,0.436,134.851,4
spotify:track:1qzlwbV6SwHYOR3mhu6ZEd,"'97 Hov","Tana Talk 3","Benny The Butcher",2018-11-23,250736,56,true,dinismbraposo,2026-01-19T15:46:37Z,"boom bap","Griselda Records",0.462,0.517,1,-12.017,1,0.369,0.47,0,0.147,0.656,79.585,4
spotify:track:6AshXllQhobwSXsdpgp41w,"Johnny P's Caddy","Johnny P's Caddy","Benny The Butcher;J. Cole",2022-01-28,225000,60,true,dinismbraposo,2026-01-19T15:46:36Z,"boom bap,rap","Griselda Records / EMPIRE",0.535,0.819,8,-6.792,1,0.455,0.584,0,0.16,0.581,150.451,4
spotify:track:68xjJPxtRpCKxtrTtRYVF9,"$500 Ounces (feat. Freddie Gibbs & Roc Marciano)","Pray for Paris","Westside Gunn;Freddie Gibbs;Roc Marciano",2020-04-17,252954,59,true,dinismbraposo,2026-01-19T15:43:12Z,"boom bap,hip-hop alternativo,jazz rap,hip-hop experimental,hip-hop underground,hip-hop da Costa Leste","Griselda Records",0.41,0.821,4,-6.131,1,0.475,0.512,0,0.353,0.549,143.92,4
spotify:track:2MZFUhF9RZeCdUSR2wGEuQ,"No Vacancy","Pray for Paris","Westside Gunn",2020-04-17,95294,54,true,dinismbraposo,2026-01-19T15:43:05Z,"boom bap,hip-hop alternativo,jazz rap,hip-hop experimental","Griselda Records",0.519,0.706,8,-6.983,1,0.214,0.605,0,0.175,0.61,135.831,4
spotify:track:2TMmxS4qWwfZ5h2xwaDFsY,"George Bondo (feat. Conway the Machine & Benny The Butcher)","Pray for Paris","Westside Gunn;Conway the Machine;Benny The Butcher",2020-04-17,284302,58,true,dinismbraposo,2026-01-19T15:43:07Z,"boom bap,hip-hop alternativo,jazz rap,hip-hop experimental,hip-hop da Costa Leste","Griselda Records",0.508,0.791,6,-6.586,0,0.418,0.157,0,0.222,0.719,79.35,4
spotify:track:0RoV9OBxlqxkzFEv6LAm84,"French Toast (feat. Wale & Joyce Wrice)","Pray for Paris","Westside Gunn;Wale;Joyce Wrice",2020-04-17,288004,50,true,dinismbraposo,2026-01-19T15:43:09Z,"boom bap,hip-hop alternativo,jazz rap,hip-hop experimental,r&b alternativo","Griselda Records",0.477,0.863,4,-5.965,0,0.421,0.15,0.00000125,0.626,0.485,81.111,4
